30
5
3
7
6000
379	549
386	643
402	644
409	680
414	769
423	806
450	857
803.3	692.8	147	3.0	680	4140	40000.0	4.0	143	1.0	555	3420	20000.0	2.0	139	5.0	525	2100	30000.0	3.0
132.3	455.8	50	19	8.0	620	72.0	20	6.0	564	72.0	17	9.0	280	108.0
644.2	501.8	50	0	9.0	516	99.0	0	7.0	441	77.0	22	10.0	704	100.0
252.0	818.8	50	23	9.0	628	72.0	6	9.0	592	99.0	19	10.0	360	110.0
591.7	723.9	50	46	10.0	288	100.0	51	6.0	519	60.0	32	9.0	620	90.0
252.8	255.9	50	0	8.0	507	64.0	8	7.0	358	84.0	0	9.0	354	90.0
179.0	327.5	50	36	6.0	584	66.0	11	10.0	568	110.0	36	10.0	567	110.0
560.3	934.8	50	23	9.0	290	108.0	21	6.0	288	66.0	25	10.0	286	110.0
99.0	851.9	50	8	8.0	604	80.0	16	9.0	724	99.0	8	9.0	332	99.0
34.3	713.6	50	0	6.0	507	54.0	0	9.0	652	99.0	22	8.0	426	72.0
819.0	301.7	50	20	6.0	423	60.0	0	8.0	330	88.0	13	7.0	760	84.0
96.5	805.3	50	12	10.0	584	110.0	0	6.0	280	72.0	54	9.0	344	81.0
452.1	28.4	50	34	8.0	696	64.0	21	7.0	522	63.0	25	10.0	314	110.0
779.5	788.5	50	0	9.0	552	108.0	20	8.0	288	72.0	50	7.0	724	70.0
664.3	90.1	50	17	10.0	534	110.0	18	9.0	560	81.0	22	8.0	450	80.0
285.9	923.8	50	15	7.0	528	56.0	10	7.0	495	77.0	16	9.0	760	81.0
987.2	713.6	50	32	8.0	450	80.0	14	7.0	604	56.0	0	6.0	288	60.0
407.2	226.7	50	17	7.0	282	70.0	21	9.0	492	90.0	23	7.0	632	84.0
923.5	550.3	50	0	6.0	612	54.0	36	9.0	640	81.0	0	7.0	636	56.0
389.7	358.9	50	21	6.0	423	60.0	10	8.0	728	96.0	0	6.0	584	60.0
443.5	31.2	50	0	7.0	358	56.0	36	8.0	716	80.0	7	8.0	338	64.0
931.8	877.4	50	22	6.0	540	54.0	10	6.0	326	48.0	14	7.0	561	70.0
486.8	118.4	50	7	8.0	308	88.0	39	7.0	549	77.0	30	9.0	522	90.0
723.6	953.2	50	0	10.0	459	80.0	16	10.0	378	120.0	6	7.0	354	56.0
699.2	12.9	50	17	8.0	624	96.0	47	10.0	308	120.0	0	9.0	752	81.0
823.4	280.8	50	15	10.0	696	120.0	21	6.0	543	54.0	31	8.0	507	88.0
176.1	999.2	50	9	8.0	296	88.0	34	8.0	648	72.0	54	10.0	465	80.0
364.9	579.9	50	14	9.0	486	81.0	15	6.0	525	66.0	20	6.0	608	54.0
522.3	71.6	50	20	8.0	580	96.0	7	6.0	752	48.0	24	10.0	459	80.0
871.5	641.7	50	0	9.0	338	90.0	37	6.0	284	48.0	14	10.0	435	90.0
685.7	623.6	50	0	8.0	432	64.0	11	8.0	567	88.0	53	8.0	644	80.0
19	0	0	48	15	
0	16	43	45	25	
23	53	17	44	7	
46	19	21	34	9	
0	20	0	9	34	
36	8	13	0	22	
23	0	0	11	0	
8	21	32	30	24	
0	12	36	42	5	
20	0	13	22	0	
12	22	40	0	25	
34	24	39	43	23	
0	23	9	22	18	
17	8	48	18	41	
15	13	5	11	38	
32	20	42	0	11	
17	23	23	53	0	
0	18	20	48	17	
21	16	18	51	12	
0	0	18	19	50	
22	0	10	19	46	
7	6	0	10	22	
0	11	0	7	16	
17	16	20	21	19	
15	0	45	0	17	
9	5	14	20	32	
14	5	41	9	0	
20	8	33	9	17	
0	42	0	0	0	
0	10	0	22	12	
20	7	22	19	7	
0	16	0	23	12	
6	16	36	0	0	
51	7	14	0	0	
8	25	20	34	24	
11	0	37	11	46	
21	0	15	0	0	
16	42	12	0	0	
0	5	17	0	55	
0	47	8	0	33	
0	54	21	14	0	
21	47	10	6	6	
20	16	7	31	13	
18	6	19	31	54	
10	14	0	21	0	
14	7	0	21	16	
21	24	0	55	0	
36	15	22	0	10	
10	33	8	17	34	
36	23	47	0	22	
10	33	16	0	13	
39	20	20	0	0	
16	9	8	6	0	
47	15	10	22	0	
21	10	0	0	17	
34	0	13	7	0	
15	13	38	19	20	
7	25	25	0	0	
37	16	53	52	11	
11	8	0	8	18	
17	0	0	23	20	
22	16	46	0	20	
19	0	10	16	7	
32	0	0	50	35	
0	6	22	15	17	
36	24	0	47	0	
25	14	19	54	14	
8	0	47	45	6	
22	15	35	19	0	
13	11	16	23	18	
54	34	0	0	0	
25	0	10	17	54	
50	46	20	18	37	
22	10	52	12	22	
16	17	20	38	0	
0	16	0	17	35	
23	47	7	15	19	
0	19	0	34	13	
0	0	19	0	0	
7	16	45	19	53	
14	13	0	15	16	
30	13	17	45	7	
6	0	0	17	0	
0	10	0	36	45	
31	32	47	21	38	
54	55	0	23	11	
20	6	14	0	20	
24	13	24	9	30	
14	20	39	0	0	
53	0	0	15	35	
