30
10
3
9
6000
296	611
296	612
307	715
308	733
313	781
319	827
334	846
340	847
346	939
450.2	712.4	101	3.0	308	2400	50000.0	5.0	120	3.0	489	3840	40000.0	4.0	107	1.0	510	3180	60000.0	6.0
718.1	979.1	50	11	9.0	636	81.0	22	8.0	519	88.0	53	8.0	483	80.0
716.4	734.0	50	55	7.0	516	70.0	33	6.0	462	66.0	11	8.0	358	64.0
865.8	296.0	50	16	7.0	588	77.0	13	9.0	612	90.0	11	10.0	519	110.0
447.5	261.1	50	5	9.0	423	99.0	0	8.0	350	72.0	0	10.0	342	80.0
509.9	201.5	50	13	10.0	358	90.0	7	10.0	444	120.0	5	9.0	564	81.0
151.5	579.7	50	18	8.0	537	64.0	6	10.0	380	100.0	34	7.0	306	77.0
172.0	426.8	50	0	7.0	340	63.0	0	7.0	513	84.0	12	6.0	708	72.0
309.5	565.1	50	21	6.0	624	54.0	38	7.0	549	56.0	17	8.0	429	64.0
189.1	439.7	50	24	7.0	336	63.0	8	7.0	748	56.0	12	8.0	567	80.0
195.1	992.6	50	0	7.0	438	77.0	0	7.0	584	77.0	8	10.0	558	90.0
61.7	68.7	50	39	10.0	748	120.0	13	6.0	364	60.0	0	9.0	580	72.0
444.4	83.2	50	20	10.0	284	100.0	0	10.0	492	90.0	50	7.0	608	63.0
562.2	605.8	50	11	7.0	507	63.0	23	6.0	316	72.0	16	6.0	456	72.0
207.9	647.7	50	19	10.0	489	120.0	0	10.0	572	120.0	12	9.0	372	81.0
725.1	778.8	50	19	9.0	322	108.0	17	8.0	495	80.0	12	9.0	316	90.0
80.7	42.5	50	0	7.0	486	84.0	14	9.0	748	108.0	41	6.0	560	54.0
940.0	964.8	50	21	8.0	728	96.0	15	6.0	304	66.0	24	10.0	438	120.0
319.0	699.7	50	17	6.0	576	66.0	0	6.0	344	48.0	21	9.0	429	108.0
235.2	306.2	50	0	7.0	604	63.0	48	9.0	668	99.0	25	8.0	522	80.0
279.2	436.0	50	38	10.0	483	80.0	0	10.0	720	90.0	0	6.0	314	54.0
271.3	405.6	50	20	8.0	744	64.0	0	10.0	336	110.0	15	8.0	580	72.0
538.7	14.9	50	17	9.0	364	99.0	9	8.0	284	72.0	44	9.0	760	90.0
985.5	943.0	50	8	8.0	290	88.0	0	6.0	510	48.0	18	7.0	720	70.0
604.1	13.1	50	0	8.0	612	88.0	47	10.0	284	100.0	25	7.0	459	77.0
878.2	924.6	50	0	9.0	423	81.0	0	8.0	748	72.0	15	10.0	480	120.0
489.6	953.9	50	41	6.0	724	48.0	8	8.0	700	96.0	0	9.0	368	72.0
981.7	928.3	50	9	9.0	314	99.0	43	8.0	560	72.0	0	8.0	435	64.0
796.9	919.7	50	25	6.0	525	60.0	0	10.0	296	110.0	6	7.0	570	77.0
390.6	200.1	50	10	9.0	438	72.0	46	8.0	495	88.0	24	8.0	676	88.0
981.6	192.8	50	6	8.0	546	88.0	25	8.0	628	64.0	6	7.0	320	70.0
11	25	17	16	20	14	41	41	12	24	
55	30	0	19	0	20	0	48	15	22	
16	6	52	0	17	25	50	16	15	36	
5	31	6	21	20	14	18	40	7	0	
13	51	45	16	19	12	0	44	13	19	
18	0	36	25	7	0	40	0	38	44	
0	13	12	11	13	13	15	14	0	0	
21	42	0	0	0	11	47	0	5	48	
24	24	0	0	46	0	6	0	0	0	
0	24	46	43	16	12	44	14	40	21	
39	25	11	25	25	15	7	23	7	17	
20	0	0	6	45	42	0	30	17	0	
11	0	0	23	51	42	25	25	38	25	
19	53	43	19	10	0	21	15	49	37	
19	8	22	52	0	38	25	17	20	0	
0	49	23	16	0	12	53	0	44	38	
21	6	17	43	10	32	21	17	0	39	
17	18	14	0	0	16	15	20	0	0	
0	35	15	9	25	21	0	24	8	0	
38	17	0	0	54	19	37	5	16	38	
20	23	21	0	16	12	9	15	11	44	
17	11	16	12	0	0	31	32	36	0	
8	11	0	0	0	0	23	5	39	50	
0	0	43	8	0	7	0	45	7	19	
0	19	30	0	0	21	17	0	48	0	
41	17	0	17	10	38	19	17	0	30	
9	17	33	0	11	8	9	0	10	46	
25	37	11	0	11	0	0	14	41	48	
10	0	0	0	12	41	0	12	0	47	
6	14	47	14	33	0	33	21	23	53	
22	24	0	50	24	22	9	21	0	15	
33	25	51	11	47	7	16	42	32	11	
13	48	9	13	11	35	25	32	0	10	
0	17	0	10	6	8	14	0	22	10	
7	19	0	23	0	10	40	16	30	18	
6	23	19	8	30	15	0	18	25	9	
0	53	21	14	0	24	37	18	17	30	
38	0	20	16	16	8	17	25	0	14	
8	8	8	50	0	16	22	12	8	22	
0	16	5	52	15	20	44	17	22	0	
13	31	12	53	51	31	0	5	0	15	
0	43	5	43	0	0	10	25	44	0	
23	0	23	52	32	13	49	21	0	15	
0	17	0	11	35	0	30	30	46	22	
17	54	0	18	10	42	48	0	32	8	
14	24	50	6	14	0	18	41	0	0	
15	0	17	0	50	0	20	6	37	52	
0	23	0	10	23	0	18	0	55	20	
48	15	55	17	13	0	15	13	17	0	
0	5	49	13	15	21	0	0	52	22	
0	0	9	0	46	33	25	23	24	7	
9	0	33	53	0	47	7	48	0	0	
0	21	0	0	0	12	40	9	0	0	
47	35	33	16	13	18	6	0	16	22	
0	0	17	12	19	19	9	0	22	0	
8	23	16	51	22	0	37	17	52	19	
43	15	16	0	54	8	50	0	0	6	
0	23	21	5	0	50	33	15	15	43	
46	14	6	47	0	0	24	22	0	45	
25	0	16	9	0	7	24	7	16	0	
53	0	8	14	43	17	15	14	25	14	
11	24	48	0	38	34	23	24	25	22	
11	10	17	17	21	0	0	33	0	0	
0	54	51	39	10	0	7	14	18	17	
5	0	0	48	9	14	5	5	9	9	
34	11	5	25	12	52	0	9	21	19	
12	23	18	35	17	23	17	54	0	0	
17	17	39	0	5	23	38	0	0	19	
12	16	0	42	25	37	15	43	0	20	
8	9	30	11	40	41	51	33	0	0	
0	0	22	16	0	30	0	46	0	17	
