20
15
3
9
6000
194	573
198	598
204	721
213	736
214	762
218	784
219	841
231	896
231	978
43.2	455.2	100	2.0	300	1180	70000.0	7.0	140	5.0	330	1420	40000.0	4.0	106	3.0	290	2440	80000.0	8.0
784.0	240.0	50	49	7.0	342	84.0	0	6.0	549	72.0	10	7.0	724	70.0
107.7	773.9	50	0	7.0	664	84.0	17	10.0	600	80.0	46	10.0	300	110.0
529.0	840.1	50	0	8.0	640	64.0	20	9.0	450	72.0	0	10.0	480	100.0
584.5	464.6	50	17	9.0	568	81.0	30	8.0	644	72.0	50	6.0	423	48.0
290.2	372.3	50	16	10.0	495	90.0	18	10.0	352	110.0	55	8.0	376	72.0
60.8	679.7	50	16	9.0	672	99.0	24	7.0	728	77.0	45	9.0	362	108.0
820.2	86.7	50	0	8.0	435	72.0	35	8.0	752	96.0	10	10.0	360	120.0
966.4	445.5	50	48	7.0	453	56.0	20	10.0	652	100.0	22	7.0	498	70.0
221.2	298.9	50	16	9.0	465	108.0	0	8.0	348	64.0	19	9.0	704	72.0
430.3	682.8	50	6	6.0	486	66.0	0	9.0	580	81.0	43	8.0	380	96.0
567.3	900.4	50	0	9.0	543	108.0	10	10.0	720	100.0	0	8.0	516	88.0
397.5	7.7	50	19	9.0	724	90.0	9	10.0	616	100.0	0	10.0	426	110.0
743.7	552.7	50	17	6.0	519	60.0	15	8.0	330	88.0	52	9.0	348	99.0
860.8	221.7	50	0	8.0	668	64.0	0	10.0	543	100.0	0	10.0	756	120.0
414.7	127.6	50	20	9.0	326	99.0	52	9.0	298	99.0	19	8.0	432	80.0
282.0	917.8	50	0	8.0	340	64.0	9	7.0	486	70.0	11	6.0	344	66.0
788.9	102.2	50	42	10.0	616	80.0	10	6.0	664	72.0	22	9.0	374	72.0
33.1	515.4	50	13	7.0	326	84.0	20	9.0	356	99.0	0	10.0	513	100.0
247.1	293.5	50	30	6.0	708	60.0	0	9.0	348	99.0	0	7.0	560	84.0
243.1	532.2	50	34	7.0	298	77.0	45	6.0	580	66.0	16	9.0	513	99.0
49	37	20	11	53	54	32	0	0	25	18	0	23	11	0	
0	12	0	45	0	24	22	12	0	47	8	18	39	0	24	
0	35	0	0	0	41	55	55	21	11	13	15	31	54	42	
17	15	0	23	24	18	0	12	50	0	48	0	35	20	23	
16	24	8	0	22	0	51	14	51	0	9	24	0	0	0	
16	21	19	18	13	0	0	20	38	54	15	0	21	0	9	
0	6	50	23	22	0	0	17	0	36	31	14	46	0	52	
48	14	9	7	30	15	24	43	0	18	32	45	13	6	0	
16	16	0	0	52	45	0	0	52	15	5	0	6	0	19	
6	49	53	37	0	18	0	15	6	10	19	11	8	23	6	
0	0	0	15	0	6	24	12	21	40	49	0	14	34	19	
19	41	24	22	43	0	23	21	0	6	0	21	0	55	34	
17	47	0	11	0	0	53	17	10	43	9	12	7	24	14	
0	45	10	0	21	31	7	0	9	21	47	20	19	0	0	
20	0	18	17	21	24	0	54	0	49	0	0	35	32	15	
0	9	0	7	33	0	49	24	0	16	0	25	43	12	18	
42	0	22	0	39	9	14	42	0	0	0	14	0	18	51	
13	22	39	0	0	18	0	50	42	5	0	20	12	8	0	
30	0	50	11	14	19	24	23	18	20	16	0	32	0	6	
34	47	7	6	14	48	33	53	38	46	7	16	20	21	0	
0	35	22	32	0	0	0	9	30	14	0	54	43	0	55	
17	0	0	11	0	0	0	0	10	20	37	41	16	15	25	
20	0	18	17	24	40	25	53	8	6	52	0	17	0	0	
30	0	17	0	6	18	32	53	50	11	32	12	15	0	0	
18	15	20	24	0	0	23	48	0	8	20	0	49	0	15	
24	8	0	19	0	20	19	36	39	23	30	39	25	15	23	
35	5	13	53	0	24	5	39	0	0	11	7	23	42	0	
20	13	11	0	7	13	21	19	41	0	13	52	48	15	20	
0	0	8	52	0	7	0	7	18	15	9	13	12	0	0	
0	32	0	46	15	53	0	13	36	31	9	14	0	8	20	
10	15	21	16	40	9	41	20	15	0	23	0	23	16	18	
9	5	0	48	12	52	20	23	7	9	25	7	0	0	13	
15	24	42	0	33	0	0	14	11	0	12	0	9	51	0	
0	38	8	6	47	0	12	9	23	17	21	31	48	0	9	
52	48	0	0	0	39	50	10	21	24	38	9	42	12	14	
9	12	19	10	40	55	17	0	36	21	0	5	10	47	21	
10	21	47	5	17	55	9	11	12	5	18	5	30	44	46	
20	11	50	25	42	16	0	38	0	21	33	44	10	48	12	
0	0	10	6	24	8	7	40	5	0	10	36	0	39	30	
45	0	18	32	54	16	43	24	23	18	0	15	0	55	21	
10	0	18	17	33	14	16	9	14	40	30	49	6	6	6	
46	6	0	21	22	0	15	0	21	33	32	47	12	11	14	
0	17	21	31	45	10	22	12	0	0	0	7	13	53	0	
50	47	43	0	0	5	35	0	8	22	15	18	10	0	55	
55	17	24	52	0	0	0	52	0	25	0	0	18	11	22	
45	20	24	21	12	0	23	25	41	0	0	20	12	24	49	
10	13	16	45	0	47	18	0	12	17	0	20	22	0	0	
