20
15
3
7
6000
256	521
263	594
272	642
283	645
292	707
299	864
312	876
439.7	861.1	110	2.0	374	1300	20000.0	2.0	127	1.0	465	2660	80000.0	8.0	135	3.0	588	1760	40000.0	4.0
970.3	504.4	50	38	9.0	688	72.0	19	9.0	495	108.0	13	8.0	374	72.0
603.8	475.3	50	19	7.0	516	56.0	15	9.0	426	72.0	0	9.0	498	108.0
134.7	106.6	50	7	7.0	752	84.0	24	9.0	549	90.0	50	8.0	471	80.0
684.4	836.4	50	18	8.0	340	64.0	19	9.0	435	108.0	7	7.0	740	77.0
836.8	949.4	50	24	7.0	504	77.0	43	10.0	628	100.0	17	7.0	489	63.0
103.1	352.6	50	23	10.0	531	90.0	31	9.0	596	81.0	46	10.0	632	120.0
840.4	343.6	50	40	8.0	423	80.0	0	6.0	362	54.0	14	7.0	525	77.0
101.3	400.3	50	23	10.0	519	90.0	14	6.0	507	54.0	18	8.0	668	80.0
261.3	453.4	50	24	10.0	588	100.0	19	6.0	426	48.0	0	6.0	320	72.0
461.6	829.9	50	30	10.0	310	90.0	43	9.0	358	72.0	22	9.0	486	72.0
226.9	933.9	50	10	6.0	306	48.0	53	8.0	356	72.0	20	8.0	564	96.0
403.7	940.2	50	55	9.0	756	72.0	38	9.0	636	90.0	8	10.0	537	110.0
158.8	476.3	50	9	6.0	712	48.0	32	6.0	280	72.0	0	6.0	438	54.0
478.0	409.8	50	39	10.0	552	100.0	0	8.0	564	72.0	0	6.0	756	66.0
118.0	706.2	50	45	10.0	498	80.0	35	6.0	302	66.0	46	6.0	332	54.0
49.1	261.3	50	20	8.0	756	96.0	36	9.0	501	99.0	43	8.0	620	80.0
732.7	274.9	50	17	7.0	546	70.0	0	7.0	716	77.0	0	7.0	564	77.0
71.8	811.9	50	51	7.0	282	63.0	0	10.0	576	120.0	11	10.0	284	90.0
432.0	527.5	50	0	8.0	328	64.0	23	10.0	636	90.0	15	6.0	372	48.0
531.6	800.4	50	0	9.0	326	99.0	0	8.0	350	96.0	14	9.0	660	99.0
38	0	8	0	37	9	38	18	54	54	45	15	12	0	12	
19	7	48	0	8	0	0	6	0	11	12	0	40	13	34	
7	8	49	9	9	0	11	0	10	20	13	0	15	0	0	
18	20	16	43	9	22	19	10	13	7	9	24	15	21	37	
24	20	24	17	45	23	22	0	20	35	21	17	9	0	22	
23	47	9	31	53	41	13	0	44	42	8	17	14	19	43	
40	0	30	13	12	32	24	10	13	14	0	0	0	0	17	
23	15	0	12	13	9	52	21	22	12	50	36	24	16	0	
24	0	17	24	46	12	25	0	0	0	13	16	22	6	14	
30	11	0	0	47	41	36	0	19	23	12	19	9	0	0	
10	17	11	0	47	21	9	40	19	13	0	0	13	0	20	
55	0	33	32	0	0	24	11	0	0	0	12	0	0	9	
9	53	33	11	0	15	42	20	0	32	0	22	54	24	40	
39	13	0	0	53	50	45	17	0	54	0	44	24	0	23	
45	5	11	10	0	0	41	0	6	0	0	11	25	0	15	
20	21	16	42	8	10	0	33	5	33	24	0	0	50	15	
17	50	0	39	8	24	15	53	11	52	14	0	16	52	10	
51	0	41	47	51	11	5	18	16	22	41	32	17	0	21	
